titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
TOUT LE PLAISIR EST POUR MOI;ISABELLE BROUE;08/01/2003;08/01/2003;EXTERIEUR;AVENUE DU PRESIDENT WILSON;75016;AVENUE DU PRESIDENT WILSON 75016 Paris France;48.865039, 2.295434
ONE DOLLAR CURRY;VIJAY SINGH;21/07/2003;21/07/2003;EXTERIEUR;RUE DE DOUAI;75009;RUE DE DOUAI 75009 Paris France;48.883055, 2.331266
DOO WOP;DAVID LANZMAN;09/02/2003;09/02/2003;EXTERIEUR;AVENUE DENFERT ROCHEREAU;75014;AVENUE DENFERT ROCHEREAU 75014 Paris France;48.836493, 2.334504
DOO WOP;DAVID LANZMAN;30/07/2003;30/07/2003;EXTERIEUR;AVENUE DE SUFFREN;75007;AVENUE DE SUFFREN   75007 Paris France;48.851551, 2.300291
DOO WOP;DAVID LANZMAN;20/08/2003;20/08/2003;EXTERIEUR;BOULEVARD DES CAPUCINES;75009;BOULEVARD DES CAPUCINES 75009 Paris France;48.870442, 2.331035
DOO WOP;DAVID LANZMAN;08/08/2003;08/08/2003;EXTERIEUR;RUE VEYRON;75018;RUE VEYRON 75018 Paris France;48.884861, 2.335714
DOO WOP;DAVID LANZMAN;22/08/2003;22/08/2003;EXTERIEUR;RUE DE BRETAGNE;75003;RUE DE BRETAGNE 75003 Paris France;48.863247, 2.361856
DOO WOP;DAVID LANZMAN;09/02/2003;09/02/2003;EXTERIEUR;RUE CASSINI;75014;RUE CASSINI 75014 Paris France;48.837318, 2.336562
DOO WOP;DAVID LANZMAN;16/08/2003;16/08/2003;EXTERIEUR;RUE DE RIVOLI;75001;RUE DE RIVOLI 75001 Paris France;48.860787, 2.341197
MARIAGE MIXTE;ALEXANDRE ARCADY;08/05/2003;08/05/2003;EXTERIEUR;AVENUE SIMON BOLIVAR;75019;AVENUE SIMON BOLIVAR 75019 Paris France;48.876453, 2.379621
MARIAGE MIXTE;ALEXANDRE ARCADY;08/04/2003;08/04/2003;EXTERIEUR;AVENUE DE WAGRAM;75017;AVENUE DE WAGRAM 75017 Paris France;48.880704, 2.30008
MARIAGE MIXTE;ALEXANDRE ARCADY;08/04/2003;08/04/2003;EXTERIEUR;AVENUE DE LA PORT;75017;AVENUE DE LA PORT 75017 Paris France;48.869468, 2.334051
MARIAGE MIXTE;ALEXANDRE ARCADY;08/04/2003;08/04/2003;EXTERIEUR;BOULEVARD BARBES;75018;BOULEVARD BARBES 75018 Paris France;48.887872, 2.34953
MARIAGE MIXTE;ALEXANDRE ARCADY;08/04/2003;08/04/2003;EXTERIEUR;BOULEVARD ORNANO;75018;BOULEVARD ORNANO 75018 Paris France;48.893197, 2.348433
MARIAGE MIXTE;ALEXANDRE ARCADY;08/04/2003;08/04/2003;EXTERIEUR;PLACE DE WAGRAM;75017;PLACE DE WAGRAM 75017 Paris France;48.887174, 2.304821
MARIAGE MIXTE;ALEXANDRE ARCADY;28/07/2003;28/07/2003;EXTERIEUR;PLACE VENDOME;75001;PLACE VENDOME 75001 Paris France;48.867447, 2.329434
MARIAGE MIXTE;ALEXANDRE ARCADY;08/01/2003;08/01/2003;EXTERIEUR;RUE GEOFFROY MARIE;75009;RUE GEOFFROY MARIE 75009 Paris France;48.873446, 2.343813
MARIAGE MIXTE;ALEXANDRE ARCADY;08/05/2003;08/05/2003;EXTERIEUR;RUE DU FAUBOURG DU TEMPLE;75010;RUE DU FAUBOURG DU TEMPLE 75010 Paris France;48.869691, 2.370054
MARIAGE MIXTE;ALEXANDRE ARCADY;08/05/2003;08/05/2003;EXTERIEUR;RUE MANIN;75019;RUE MANIN 75019 Paris France;48.883023, 2.385709
ARSENE LUPIN;JEAN PAUL SALOME;15/08/2003;15/08/2003;EXTERIEUR;PLACE DIAGHILEV;75009;PLACE DIAGHILEV 75009 Paris France;48.878281, 2.336967
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;08/07/2003;08/07/2003;EXTERIEUR;AVENUE GUSTAVE V DE SUEDE;75016;AVENUE GUSTAVE V DE SUEDE 75016 Paris France;48.861649, 2.289984
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;27/08/2003;27/08/2003;EXTERIEUR;AVENUE HUSSEIN DE JORDANIE;75016;AVENUE HUSSEIN DE JORDANIE 75016 Paris France;48.861649, 2.289984
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;09/01/2003;09/01/2003;EXTERIEUR;AVENUE DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES 75008 Paris France;48.869576, 2.30825
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;09/01/2003;09/01/2003;EXTERIEUR;AVENUE GUSTAVE V DE SUEDE;75016;AVENUE GUSTAVE V DE SUEDE 75016 Paris France;48.861649, 2.289984
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;27/08/2003;27/08/2003;EXTERIEUR;PASSERELLE DES ART;75001;PASSERELLE DES ART 75001 Paris France;48.858795, 2.337747
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;08/08/2003;08/08/2003;EXTERIEUR;PLACE DE VARSOVIE;75016;PLACE DE VARSOVIE 75016 Paris France;48.860104, 2.290901
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;08/07/2003;08/07/2003;EXTERIEUR;PLACE COLETTE;75001;PLACE COLETTE 75001 Paris France;48.863194, 2.335833
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;27/08/2003;27/08/2003;EXTERIEUR;PONT DE L'ALMA;75008;PONT DE L'ALMA 75008 Paris France;48.863557, 2.3017
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;08/08/2003;08/08/2003;EXTERIEUR;PONT ROYAL;75001;PONT ROYAL 75001 Paris France;48.860279, 2.330021
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;08/08/2003;08/08/2003;EXTERIEUR;PONT DU CARROUSEL;75001;PONT DU CARROUSEL 75001 Paris France;48.859391, 2.332942
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;09/01/2003;09/01/2003;EXTERIEUR;PONT ROYAL;75001;PONT ROYAL 75001 Paris France;48.860279, 2.330021
UN AUTRE QUE MOI;LAURENT TIRARD;22/09/2003;22/09/2003;EXTERIEUR;PLACE DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
QUI PERD GAGNE;LAURENT BENEGUI;09/05/2003;09/05/2003;EXTERIEUR;PLACE DE LA REPUBLIQUE;75010;PLACE DE LA REPUBLIQUE 75010 Paris France;48.86803, 2.363761
QUI PERD GAGNE;LAURENT BENEGUI;19/08/2003;19/08/2003;EXTERIEUR;SQUARE PAUL PAINLEVE;75005;SQUARE PAUL PAINLEVE 75005 Paris France;48.85026, 2.344038
LES 11 COMMANDEMENTS;FRANCOIS DESAGNAT;19/08/2003;19/08/2003;EXTERIEUR;AVENUE DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES 75008 Paris France;48.869576, 2.30825
LES 11 COMMANDEMENTS;FRANCOIS DESAGNAT;18/08/2003;18/08/2003;EXTERIEUR;RUE HAXO;75020;RUE HAXO   75020 Paris France;48.87261, 2.403987
LES 11 COMMANDEMENTS;FRANCOIS DESAGNAT;21/09/2003;21/09/2003;EXTERIEUR;RUE CORVISART (CARREFOUR R DES CORDELIERES);75013;RUE CORVISART (CARREFOUR R DES CORDELIERES) 75013 Paris France;48.834063, 2.348892
LES 11 COMMANDEMENTS;FRANCOIS DESAGNAT;13/08/2003;13/08/2003;EXTERIEUR;RUE DE BERCY;75012;RUE DE BERCY 75012 Paris France;48.841812, 2.376913
LE SYNDROME DE PETER PAN;A. VIARD;09/03/2003;09/03/2003;EXTERIEUR;BOULEVARD EDGAR QUINET;75014;BOULEVARD EDGAR QUINET 75014 Paris France;48.840458, 2.326721
L'EMPREINTE;D. MATHIEU-MAHIAS;09/09/2003;09/09/2003;EXTERIEUR;RUE GEOFFROY SAINT-HILAIRE;75005;RUE GEOFFROY SAINT-HILAIRE 75005 Paris France;48.841176, 2.355978
BEFORE SUNSET;RICHARD LINKLATER;09/04/2003;09/04/2003;EXTERIEUR;AVENUE DE SAXE;75007;AVENUE DE SAXE 75007 Paris France;48.848092, 2.310655
BEFORE SUNSET;RICHARD LINKLATER;09/01/2003;09/01/2003;EXTERIEUR;PONT SAINT LOUIS;75004;PONT SAINT LOUIS 75004 Paris France;48.852745, 2.352713
BEFORE SUNSET;RICHARD LINKLATER;16/09/2003;16/09/2003;EXTERIEUR;PORT DE LA TOURNELLE;75005;PORT DE LA TOURNELLE 75005 Paris France;48.849811, 2.356086
BEFORE SUNSET;RICHARD LINKLATER;09/01/2003;09/01/2003;EXTERIEUR;QUAI DE BOURBON;75004;QUAI DE BOURBON 75004 Paris France;48.853023, 2.355285
BEFORE SUNSET;RICHARD LINKLATER;09/04/2003;09/04/2003;EXTERIEUR;QUAI D'ORSAY;75007;QUAI D'ORSAY 75007 Paris France;48.862618, 2.310791
BEFORE SUNSET;RICHARD LINKLATER;09/01/2003;09/01/2003;EXTERIEUR;RUE DES JARDINS SAINT PAUL;75004;RUE DES JARDINS SAINT PAUL 75004 Paris France;48.853236, 2.36042
BEFORE SUNSET;RICHARD LINKLATER;16/09/2003;16/09/2003;EXTERIEUR;RUE DU FAUBOURG SAINT ANTOINE;75011;RUE DU FAUBOURG SAINT ANTOINE 75011 Paris France;48.850435, 2.381515
BEFORE SUNSET;RICHARD LINKLATER;09/01/2003;09/01/2003;EXTERIEUR;RUE EGINHARD;75004;RUE EGINHARD 75004 Paris France;48.85408, 2.361536
QUAND JE SERAI STAR;PATRICK MIMOUNI;27/08/2003;27/08/2003;EXTERIEUR;BOULEVARD DE SUCHET;75016;BOULEVARD DE SUCHET   75016 Paris France;48.855369, 2.263438
RUE DES SANS PAPIERS;ALAIN CARVILLE;30/09/2003;30/09/2003;EXTERIEUR;BOULEVARD DE MENILMONTANT;75020;BOULEVARD DE MENILMONTANT   75020 Paris France;48.862844, 2.387551
RUE DES SANS PAPIERS;ALAIN CARVILLE;29/09/2003;29/09/2003;EXTERIEUR;PLACE DE STALINGRAD;75019;PLACE DE STALINGRAD 75019 Paris France;48.883368, 2.369235
RUE DES SANS PAPIERS;ALAIN CARVILLE;10/02/2003;10/02/2003;EXTERIEUR;RUE DE PRONY;75017;RUE DE PRONY 75017 Paris France;48.882568, 2.303638
RUE DES SANS PAPIERS;ALAIN CARVILLE;29/09/2003;29/09/2003;EXTERIEUR;RUE DE L'OURCQ;75019;RUE DE L'OURCQ 75019 Paris France;48.891695, 2.380257
RUE DES SANS PAPIERS;ALAIN CARVILLE;20/09/2003;20/09/2003;EXTERIEUR;RUE DURANTIN;75018;RUE DURANTIN 75018 Paris France;48.886379, 2.336067
ILS SE MARIERENT ET EURENT BEAUCOUP D'ENFANTS;YVAN ATTAL;26/11/2003;26/11/2003;EXTERIEUR;PLAINE DE JEUX DE BAGATELLE TERRAIN;75016;PLAINE DE JEUX DE BAGATELLE TERRAIN   75016 Paris France;48.853093, 2.248763
ILS SE MARIERENT ET EURENT BEAUCOUP D'ENFANTS;YVAN ATTAL;22/12/2003;22/12/2003;EXTERIEUR;PONT CHARLES DE GAULLE;75013;PONT CHARLES DE GAULLE 75013 Paris France;48.842515, 2.368954
AUTOMNE;RA'UP MCGEE;31/10/2003;31/10/2003;EXTERIEUR;RUE JUNOT;75018;RUE JUNOT  75018 Paris France;48.88811, 2.336022
AUTOMNE;RA'UP MCGEE;10/10/2003;10/10/2003;EXTERIEUR;RUE SAILLARD ET R MOUTON DUVERNET (ANGLE);75014;RUE SAILLARD ET R MOUTON DUVERNET (ANGLE) 75014 Paris France;48.833022, 2.326889
DEUX SYLLABES EN ARRIERES;KATARINA SULAJOVA;30/09/2003;30/09/2003;EXTERIEUR;PLACE DE LA REPUBLIQUE;75010;PLACE DE LA REPUBLIQUE 75010 Paris France;48.86803, 2.363761
DEUX SYLLABES EN ARRIERES;KATARINA SULAJOVA;28/09/2003;28/09/2003;EXTERIEUR;RUE DES BARRES;75004;RUE DES BARRES 75004 Paris France;48.855335, 2.355262
DEUX SYLLABES EN ARRIERES;KATARINA SULAJOVA;30/09/2003;30/09/2003;EXTERIEUR;STATION DE METRO PORT;75016;STATION DE METRO PORT 75016 Paris France;48.853093, 2.248763
TROIS COUPLES EN QUETE D'ORAGES;JACQUES OTMEZGUINE;22/10/2003;22/10/2003;EXTERIEUR;COURS DE VINCENNES;75020;COURS DE VINCENNES   75020 Paris France;48.847871, 2.405105
TROIS COUPLES EN QUETE D'ORAGES;JACQUES OTMEZGUINE;21/10/2003;21/10/2003;EXTERIEUR;PLACE FELIX EBOUE;75012;PLACE FELIX EBOUE 75012 Paris France;48.839594, 2.396109
AU SECOURS, J'AI TRENTE ANS;MARIE-ANNE CHAZEL;10/10/2003;10/10/2003;EXTERIEUR;BOULEVARD PASTEUR;75015;BOULEVARD PASTEUR   75015 Paris France;48.842041, 2.313547
AU SECOURS, J'AI TRENTE ANS;MARIE-ANNE CHAZEL;15/10/2003;15/10/2003;EXTERIEUR;RUE RONSARD;75018;RUE RONSARD 75018 Paris France;48.885289, 2.344425
THE TRANSPORT;LOUIS LETERRIER;29/04/2002;29/04/2002;EXTERIEUR;RUE PIERRE SEMARD;75009;RUE PIERRE SEMARD 75009 Paris France;48.877791, 2.34723
RIEN QUE DU BONHEUR;DENIS PARENT;06/10/2002;06/10/2002;EXTERIEUR;PLACE DU GENERAL CATROUX;75017;PLACE DU GENERAL CATROUX 75017 Paris France;48.882231, 2.310279
RIEN QUE DU BONHEUR;DENIS PARENT;13/06/2002;13/06/2002;EXTERIEUR;RUE LEGOUVE;75010;RUE LEGOUVE 75010 Paris France;48.872334, 2.361873
RIEN QUE DU BONHEUR;DENIS PARENT;21/05/2002;21/05/2002;EXTERIEUR;RUE ALBERT ET DE TOLBIAC / ANGLE;75013;RUE ALBERT ET DE TOLBIAC / ANGLE 75013 Paris France;48.832222, 2.355556
A VENTRE OUVERT;DEREK WOOLFENDEN;06/03/2002;06/03/2002;EXTERIEUR;RUE BOCHARD DE SARON;75009;RUE BOCHARD DE SARON 75009 Paris France;48.881383, 2.342428
LE BISON;ISABELLE NANTY;08/06/2002;08/06/2002;EXTERIEUR;AVENUE DU PRESIDENT WILSON;75016;AVENUE DU PRESIDENT WILSON 75016 Paris France;48.865039, 2.295434
LE BISON;ISABELLE NANTY;18/06/2002;18/06/2002;EXTERIEUR;RUE JULES SANDEAU/EMILE AUGIER;75016;RUE JULES SANDEAU/EMILE AUGIER 75016 Paris France;48.853093, 2.248763
LE BISON;ISABELLE NANTY;08/05/2002;08/05/2002;EXTERIEUR;RUE VIVIENNE;75008;RUE VIVIENNE 75008 Paris France;48.868907, 2.340088
LE BISON;ISABELLE NANTY;18/06/2002;18/06/2002;EXTERIEUR;RUE VERDI;75016;RUE VERDI 75016 Paris France;48.86071, 2.273582
LE BISON;ISABELLE NANTY;19/08/2002;19/08/2002;EXTERIEUR;RUE D'ASSAS;75006;RUE D'ASSAS 75006 Paris France;48.845518, 2.331754
MOMO;FRANCOIS DUPEYRON;26/07/2002;26/07/2002;EXTERIEUR;QUAI DE BOURBON/ QUAI D'ORLEANS (ANGLE);75004;QUAI DE BOURBON/ QUAI D'ORLEANS (ANGLE) 75004 Paris France;48.853428, 2.358279
MOMO;FRANCOIS DUPEYRON;26/07/2002;26/07/2002;EXTERIEUR;QUAI DE L'HOTEL DE VILLE;75004;QUAI DE L'HOTEL DE VILLE 75004 Paris France;48.854754, 2.353961
MOMO;FRANCOIS DUPEYRON;08/02/2002;08/02/2002;EXTERIEUR;RUE DES DEGRES;75002;RUE DES DEGRES 75002 Paris France;48.869461, 2.35062
LE BAL DES ACTRICES;MAÃWEN LE BESCO;28/09/2007;28/09/2007;EXTERIEUR;RUE D'ALESIA;75014;RUE D'ALESIA 75014 Paris France;48.828302, 2.325438
LE BAL DES ACTRICES;MAÃWEN LE BESCO;18/10/2007;18/10/2007;EXTERIEUR;RUE DE RIVOLI;75001;RUE DE RIVOLI 75001 Paris France;48.860787, 2.341197
LE BAL DES ACTRICES;MAÃWEN LE BESCO;18/10/2007;18/10/2007;EXTERIEUR;RUE BACHAUMONT;75002;RUE BACHAUMONT 75002 Paris France;48.865968, 2.346069
LE BAL DES ACTRICES;MAÃWEN LE BESCO;24/10/2007;24/10/2007;EXTERIEUR;RUE MONTMARTRE;75002;RUE MONTMARTRE 75002 Paris France;48.867292, 2.344011
MES AMIS, MES AMOURS;LORRAINE LEVY;10/05/2007;10/05/2007;EXTERIEUR;BERGES DU QUAI DE VALMY ET ECLUSE DES RECOLLETS;75010;BERGES DU QUAI DE VALMY ET ECLUSE DES RECOLLETS 75010 Paris France;
MES AMIS, MES AMOURS;LORRAINE LEVY;11/02/2007;11/02/2007;EXTERIEUR;PLACE DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
MES AMIS, MES AMOURS;LORRAINE LEVY;10/05/2007;10/05/2007;EXTERIEUR;QUAI DE VALMY;75010;QUAI DE VALMY 75010 Paris France;48.876123, 2.364043
ENRAGE;LIONEL FOUQUET;10/08/2007;10/08/2007;EXTERIEUR;RUE BOULARD;75014;RUE BOULARD 75014 Paris France;48.833171, 2.328357
MUSEE HAUT, MUSEE BAS;JEAN MICHEL RIBES;11/07/2007;11/07/2007;DOMAINE PUBLIC;MUSEE DU PETIT PALAIS;75008;MUSEE DU PETIT PALAIS 75008 Paris France;
KIDDIE RIDE;SANDRA JENNINGS;10/11/2007;10/11/2007;DOMAINE PUBLIC;JARDIN DU RANELAGH;75016;JARDIN DU RANELAGH 75016 Paris France;48.858351, 2.269517
OPERATION CAPUCINES;MAKA SIDIBE;21/10/2007;21/10/2007;EXTERIEUR;AVENUE DU BEL AIR;75012;AVENUE DU BEL AIR 75012 Paris France;48.846522, 2.397418
OPERATION CAPUCINES;MAKA SIDIBE;17/10/2007;17/10/2007;EXTERIEUR;RUE VAUCANSON;75003;RUE VAUCANSON 75003 Paris France;
COMME LES AUTRES/UNE FEMME DANS MA VIE;VINCENT GARENQ;13/11/2007;13/11/2007;EXTERIEUR;CARREFOUR RUE CLOTAIRE/DES FOSSES SAINT JACQUES;75005;CARREFOUR RUE CLOTAIRE/DES FOSSES SAINT JACQUES 75005 Paris France;
COMME LES AUTRES/UNE FEMME DANS MA VIE;VINCENT GARENQ;13/11/2007;14/11/2007;EXTERIEUR;PLACE DU PANTHEON;75005;PLACE DU PANTHEON 75005 Paris France;48.845685, 2.345901
COMME LES AUTRES/UNE FEMME DANS MA VIE;VINCENT GARENQ;23/10/2007;23/10/2007;EXTERIEUR;RUE DU FAUBOURG DU TEMPLE;75010;RUE DU FAUBOURG DU TEMPLE 75010 Paris France;48.869691, 2.370054
COMME LES AUTRES/UNE FEMME DANS MA VIE;VINCENT GARENQ;23/10/2007;23/10/2007;EXTERIEUR;RUE DU FAUBOURG DU TEMPLE/LOUIS BONNET;75011;RUE DU FAUBOURG DU TEMPLE/LOUIS BONNET 75011 Paris France;
COMME LES AUTRES/UNE FEMME DANS MA VIE;VINCENT GARENQ;13/11/2007;14/11/2007;EXTERIEUR;RUE CLOTAIRE;75005;RUE CLOTAIRE 75005 Paris France;
COMME LES AUTRES/UNE FEMME DANS MA VIE;VINCENT GARENQ;23/10/2007;23/10/2007;EXTERIEUR;RUE DE BELLEVILLE/BOULEVARD DE LA VILLETTE;75019;RUE DE BELLEVILLE/BOULEVARD DE LA VILLETTE 75019 Paris France;
BABY BLUES;DIANE BERTRAND;13/11/2007;13/11/2007;EXTERIEUR;PONT DU CARROUSEL;75006;PONT DU CARROUSEL 75006 Paris France;
BABY BLUES;DIANE BERTRAND;13/11/2007;13/11/2007;EXTERIEUR;PONT DES ARTS;75006;PONT DES ARTS 75006 Paris France;48.858795, 2.337747
BABY BLUES;DIANE BERTRAND;13/11/2007;13/11/2007;EXTERIEUR;PONT DE LA CONCORDE;75008;PONT DE LA CONCORDE 75008 Paris France;48.86366, 2.319788
BABY BLUES;DIANE BERTRAND;18/10/2007;18/10/2007;EXTERIEUR;RUE DE CHATEAUDUN;75009;RUE DE CHATEAUDUN 75009 Paris France;
BABY BLUES;DIANE BERTRAND;31/10/2007;31/10/2007;EXTERIEUR;RUE CHARLES NODIER;75018;RUE CHARLES NODIER 75018 Paris France;48.885208, 2.34491
BABY BLUES;DIANE BERTRAND;18/10/2007;18/10/2007;EXTERIEUR;RUE DES MARTYRS;75009;RUE DES MARTYRS 75009 Paris France;48.880705, 2.340242
BABY BLUES;DIANE BERTRAND;18/10/2007;18/10/2007;EXTERIEUR;RUE LA FAYETTE;75009;RUE LA FAYETTE 75009 Paris France;
BABY BLUES;DIANE BERTRAND;11/12/2007;11/12/2007;EXTERIEUR;RUE DES BEAUX ARTS;75006;RUE DES BEAUX ARTS 75006 Paris France;48.856396, 2.335593
SECRET DEFENSE;PHILIPPE HAIM;02/04/2008;02/04/2008;EXTERIEUR;AVENUE GEORGE V;75008;AVENUE GEORGE V 75008 Paris France;48.86833, 2.300986
SECRET DEFENSE;PHILIPPE HAIM;20/02/2008;20/02/2008;EXTERIEUR;AVENUE GEORGE V;75008;AVENUE GEORGE V 75008 Paris France;48.86833, 2.300986
SECRET DEFENSE;PHILIPPE HAIM;02/05/2008;02/05/2008;EXTERIEUR;PLACE ET RUE DU DOCTEUR FELIX LOBLIGEOIS;75017;PLACE ET RUE DU DOCTEUR FELIX LOBLIGEOIS 75017 Paris France;
SECRET DEFENSE;PHILIPPE HAIM;20/02/2008;20/02/2008;EXTERIEUR;PLACE DU 18 JUIN;75015;PLACE DU 18 JUIN 75015 Paris France;48.843548, 2.324642
SECRET DEFENSE;PHILIPPE HAIM;02/05/2008;02/05/2008;EXTERIEUR;PLACE DES ETATS UNIS;75016;PLACE DES ETATS UNIS 75016 Paris France;
SECRET DEFENSE;PHILIPPE HAIM;02/05/2008;02/05/2008;EXTERIEUR;RUE DUMONT D'URVILLE;75016;RUE DUMONT D'URVILLE 75016 Paris France;
SECRET DEFENSE;PHILIPPE HAIM;02/05/2008;02/05/2008;EXTERIEUR;RUE GALILEE;75016;RUE GALILEE 75016 Paris France;48.868613, 2.293614
VERSAILLES;PIERRE SCHOELLER;25/10/2007;25/10/2007;EXTERIEUR;RUE DU POLE NORD;75018;RUE DU POLE NORD 75018 Paris France;48.894338, 2.338416
VERSAILLES;PIERRE SCHOELLER;25/10/2007;25/10/2007;EXTERIEUR;RUE DU RUISSEAU;75018;RUE DU RUISSEAU 75018 Paris France;48.894541, 2.340643
VERSAILLES;PIERRE SCHOELLER;24/10/2007;24/10/2007;EXTERIEUR;RUE MARCADET;75018;RUE MARCADET 75018 Paris France;48.891295, 2.341549
VERSAILLES;PIERRE SCHOELLER;15/11/2007;15/11/2007;DOMAINE PUBLIC;SQUARE DE CLIGNANCOURT;75018;SQUARE DE CLIGNANCOURT 75018 Paris France;48.89306, 2.346369
ILLUMINATIS;P. ANTHONY MILLE;27/10/2007;27/10/2007;EXTERIEUR;RUE DU GRENIER SUR L'EAU;75004;RUE DU GRENIER SUR L'EAU 75004 Paris France;48.855241, 2.355781
ILLUMINATIS;P. ANTHONY MILLE;30/10/2007;30/10/2007;EXTERIEUR;RUE DU GRENIER SUR L'EAU;75004;RUE DU GRENIER SUR L'EAU 75004 Paris France;48.855241, 2.355781
35 RHUMS;CLAIRE DENIS;27/11/2007;27/11/2007;EXTERIEUR;RUE BUZELIN;75018;RUE BUZELIN 75018 Paris France;
35 RHUMS;CLAIRE DENIS;19/12/2007;19/12/2007;EXTERIEUR;RUE DE LA GUADELOUPE;75018;RUE DE LA GUADELOUPE 75018 Paris France;
COLUCHE;ANTOINE DE CAUNES;12/02/2007;12/02/2007;EXTERIEUR;BOULEVARD BONNE NOUVELLE;75010;BOULEVARD BONNE NOUVELLE 75010 Paris France;48.870226, 2.350095
COLUCHE;ANTOINE DE CAUNES;20/11/2007;20/11/2007;DOMAINE PUBLIC;PARC MONTSOURIS;75014;PARC MONTSOURIS 75014 Paris France;48.822347, 2.340591
POUR ELLE;F. CAVAYE;12/10/2007;12/10/2007;EXTERIEUR;BOULEVARD DE LA CHAPELLE;75018;BOULEVARD DE LA CHAPELLE 75018 Paris France;48.884366, 2.356883
POUR ELLE;F. CAVAYE;30/11/2007;30/11/2007;EXTERIEUR;RUE HERICART;75015;RUE HERICART 75015 Paris France;
POUR ELLE;F. CAVAYE;12/11/2007;12/11/2007;EXTERIEUR;RUE CAILLE;75018;RUE CAILLE 75018 Paris France;48.898023, 2.339331
LES INSEPARABLES/CIRCUIT FERME;CHRISTINE DORY;01/02/2008;01/02/2008;EXTERIEUR;RUE DE MONCEAU;75008;RUE DE MONCEAU 75008 Paris France;48.878061, 2.311403
UN SIMPLE ESPION;NICOLAS SAADA;23/11/2007;23/11/2007;EXTERIEUR;RUE DE VAUCOULEURS;75011;RUE DE VAUCOULEURS 75011 Paris France;48.869219, 2.377472
UN SIMPLE ESPION;NICOLAS SAADA;23/11/2007;23/11/2007;EXTERIEUR;RUE DU FAUBOURG DU TEMPLE;75011;RUE DU FAUBOURG DU TEMPLE 75011 Paris France;48.870763, 2.373493
JE TE MANGERAIS;SOPHIE LALOY;22/11/2007;23/11/2007;EXTERIEUR;PLACE DE NARVICK;75008;PLACE DE NARVICK 75008 Paris France;
MAANAR;I.V. SASI;12/06/2007;12/06/2007;EXTERIEUR;PONT ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
PARUVA RAAGAM;RAVI NADARAJAN;14/12/2007;14/12/2007;EXTERIEUR;AVENUE GUSTAVE V DE SUEDE;75016;AVENUE GUSTAVE V DE SUEDE 75016 Paris France;48.861649, 2.289984
PARUVA RAAGAM;RAVI NADARAJAN;12/11/2007;12/11/2007;EXTERIEUR;PONT DE L'ARCHEVECHE;75005;PONT DE L'ARCHEVECHE 75005 Paris France;48.851604, 2.351582
PARUVA RAAGAM;RAVI NADARAJAN;14/12/2007;14/12/2007;EXTERIEUR;PONT DES ARTS;75006;PONT DES ARTS 75006 Paris France;48.858795, 2.337747
PARUVA RAAGAM;RAVI NADARAJAN;14/12/2007;14/12/2007;EXTERIEUR;QUAI DE LA TOURNELLE;75005;QUAI DE LA TOURNELLE 75005 Paris France;48.85042, 2.353546
LA FEMME INVISIBLE;AGATHE TEYSSIER;15/01/2008;15/01/2008;EXTERIEUR;BOULEVARD SAINT GERMAIN;75006;BOULEVARD SAINT GERMAIN 75006 Paris France;48.853221, 2.335691
LA FEMME INVISIBLE;AGATHE TEYSSIER;02/07/2008;02/08/2008;EXTERIEUR;BOULEVARD DU GENERAL MARTIAL VALIN;75015;BOULEVARD DU GENERAL MARTIAL VALIN 75015 Paris France;
LA FEMME INVISIBLE;AGATHE TEYSSIER;24/01/2008;24/01/2008;EXTERIEUR;PLACE DE LA REPUBLIQUE;75011;PLACE DE LA REPUBLIQUE 75011 Paris France;48.866859, 2.36525
LA FEMME INVISIBLE;AGATHE TEYSSIER;15/01/2008;15/01/2008;EXTERIEUR;RUE JACOB;75006;RUE JACOB 75006 Paris France;48.855349, 2.334397
LA FEMME INVISIBLE;AGATHE TEYSSIER;22/01/2008;22/01/2008;EXTERIEUR;RUE MAZAGRAN;75010;RUE MAZAGRAN 75010 Paris France;
CLOWN;MARCO PONTECORVO;31/01/2008;31/01/2008;EXTERIEUR;RUE SAINT MARTIN;75004;RUE SAINT MARTIN 75004 Paris France;48.859176, 2.350345
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;22/01/2008;22/01/2008;EXTERIEUR;PLACE BOIELDIEU;75002;PLACE BOIELDIEU 75002 Paris France;48.870721, 2.337954
