titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
MA MEC A MOI;J.J.ZILBERMANN;09/11/2008;09/11/2008;EXTERIEUR;RUE DE RIVOLI;75001;RUE DE RIVOLI 75001 Paris France;48.860787, 2.341197
MA MEC A MOI;J.J.ZILBERMANN;09/02/2008;09/02/2008;EXTERIEUR;RUE DE PANAMA;75018;RUE DE PANAMA 75018 Paris France;
MA MEC A MOI;J.J.ZILBERMANN;09/09/2008;09/09/2008;EXTERIEUR;RUE DE SUEZ;75018;RUE DE SUEZ 75018 Paris France;
GLAMROCK VILLE;LUC JOB;08/03/2008;08/03/2008;EXTERIEUR;QUAI DES CELESTINS;75004;QUAI DES CELESTINS 75004 Paris France;48.852245, 2.360771
HADEWIJCH;BRUNO DUMONT;20/08/2008;20/08/2008;EXTERIEUR;BOULEVARD HENRI IV;75004;BOULEVARD HENRI IV 75004 Paris France;48.85155, 2.363724
HADEWIJCH;BRUNO DUMONT;08/06/2008;08/06/2008;DOMAINE PUBLIC;PORT DE LA TOURNELLE;75005;PORT DE LA TOURNELLE 75005 Paris France;48.849811, 2.356086
HADEWIJCH;BRUNO DUMONT;29/08/2008;29/08/2008;EXTERIEUR;QUAI DES CELESTINS;75004;QUAI DES CELESTINS 75004 Paris France;48.852245, 2.360771
HADEWIJCH;BRUNO DUMONT;08/12/2008;08/12/2008;EXTERIEUR;QUAI D'ORLEANS;75004;QUAI D'ORLEANS 75004 Paris France;48.851629, 2.354153
MON BEAU PERE;ELIE CHOURAQUI;08/08/2008;08/08/2008;EXTERIEUR;AVENUE DES TERNES;75017;AVENUE DES TERNES 75017 Paris France;48.879189, 2.291646
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;22/08/2008;22/08/2008;EXTERIEUR;CANAL SAINT DENIS;75019;CANAL SAINT DENIS 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;25/11/2008;25/11/2008;DOMAINE PUBLIC;CANAL DE L'OURCQ;75019;CANAL DE L'OURCQ 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;27/11/2008;27/11/2008;EXTERIEUR;CHAUSSEE AVANT LE PONT DE L'OURCQ (GRUE);75019;CHAUSSEE AVANT LE PONT DE L'OURCQ (GRUE) 75019 Paris France;
