title;year;genres;realisators;actors;synopsis;language;country;rate;duration;found
PARUVA RAAGAM;0;null;null;null;null;null;null;0.0;0;false
CHRISTMAS IN PARIS;2008;;Hans Royaards,;Frank Aendenboom,Johan Albert,Paul Ambach,Gaston Berghmans,;December 2006. On a cold winter's night, just before Christmas, the 16-year-old youth, Nick van Sant, escapes from an orphanage in the Belgian Ardennes. He encounters Leon Gevers, a down on...;Dutch;Belgium;4.3;120;true
LA FEMME INVISIBLE;1933;;Jean Guitton,;Louis Baron Fils,Marcelle Barry,Mady Berry,Georges Bever,;N/A;French;France;0.0;0;true
ENVOYES (TRES) SPECIAUX;0;null;null;null;null;null;null;0.0;0;false
UN HOMME ET SON CHIEN;2008;;Francis Huster (adaptation),Murielle Magellan (dialogue Script),Cesare Zavattini (original Screenplay),;Jean-paul Belmondo,Hafsia Herzi,Sarah Biasini,Sophie Bouilloux,;An elderly gentleman and his dog find themselves out of a home with little means.;French;France, Italy;5.9;94;true
TRANSPORT;2004;;Silvio Helbig,;Anatole Taubman,Ole Puppe,Oliver Marlo,;N/A;German;Germany;2.8;30;true
LOL;2012;;Lisa Azuelos (screenplay),Kamir Aïnouz (screenplay),Lisa Azuelos (film "lol [laughing Out Loud]®"),Nans Delgado (film "lol [laughing Out Loud]®"),;Jean-luc Bilodeau,Douglas Booth,Vivian Le Borgne,Bridget Brown,;As a new year at school begins, Lola's heart is broken by her boyfriend, though soon she's surprised by her best friend, promising musician Kyle, who reveals his feelings for her.;English, French;USA;4.2;97;true
ET SI...;2007;;Fabrice Barrilliet,Marie Chantal Gariépy,Marie-hélène Panisset (collaborating Writer),;Judith Baribeau,Richard Robitaille,Marc Marans,;N/A;French;Canada;7.3;24;true
TON PROCHAIN;0;null;null;null;null;null;null;0.0;0;false
LES HERBES FOLLES;0;null;null;null;null;null;null;0.0;0;false
LES ZONES TURQUOISES;0;null;null;null;null;null;null;0.0;0;false
EDEN A L'OUEST;0;null;null;null;null;null;null;0.0;0;false
LE CODE A CHANGE;2009;;Christopher Thompson,Danièle Thompson,;Karin Viard,Dany Boon,Marina Foïs,Patrick Bruel,;So called friends at a dinner party end up acting like a dysfunctional family.;French, Spanish;France;5.8;100;true
CHERI;1974;;N/a,;Susie Carlson,John Holmes,Cindy Wilson,Rick Cassidy,;After a hot and heavy coupling with her ex-boyfriend, the King Of Studs, John C. Holmes, Cheri meets up with another former lover who has a broken leg. The ex has no problem getting his ...;English;USA;3.1;57;true
LE DERNIER POLICHINELLE;0;null;null;null;null;null;null;0.0;0;false
AN EDUCATION;2009;;Lynn Barber (memoir),Nick Hornby (screenplay),;Carey Mulligan,Olivia Williams,Alfred Molina,Cara Seymour,;A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.;English, French;UK, USA;7.3;100;true
LES INVITES DE MON PERE;2010;;Luc Béraud (screenplay),Anne Le Ny (screenplay),;Fabrice Luchini,Karin Viard,Michel Aumont,Valérie Benguigui,;Lucien Paumelle has been a human rights activist for decades and his relatives are not astonished when he announces that he is determined to help illegal immigrants by giving them shelter ...;French;France;6.5;100;true
TUTTO L'AMORE DEL MUNDO;0;null;null;null;null;null;null;0.0;0;false
CA COMMENCE PAR LA FIN;0;null;null;null;null;null;null;0.0;0;false
ENSEMBLE, NOUS ALLONS VIVRE UNE TRES GRANDE HISTOIRE D'AMOUR;0;null;null;null;null;null;null;0.0;0;false
